old_code,canonical_new_code
HW10-GYHG-XC17-001,HW10-GYHG-XC17-001
HW10-GYHG-XC45-001,HW10-GYHG-XC45-001
HW10-GYHG-XC5D-001,HW10-GYHG-XC5D-001
HW10-GYHG-XC98-001,HW10-GYHG-XC98-001
HW10-GYHG-XCB4-001,HW10-GYHG-XCB4-001
HW10-GYHG-XCFE-001,HW10-GYHG-XCFE-001
HW10-GYHG-XD06-001,HW10-GYHG-XD06-001
HW10-GYHG-XD37-001,HW10-GYHG-XD37-001
HW10-GYHG-XD42-001,HW10-GYHG-XD42-001
HW10-GYHG-XD6A-001,HW10-GYHG-XD6A-001
HW10-GYHG-XDB7-001,HW10-GYHG-XDB7-001
HW10-GYHG-XDD7-001,HW10-GYHG-XDD7-001
HW10-GYHG-XDE0-001,HW10-GYHG-XDE0-001
HW10-GYHG-XDE5-001,HW10-GYHG-XDE5-001
HW10-GYHG-XDF8-001,HW10-GYHG-XDF8-001
HW10-GYHG-XDF8-002,HW10-GYHG-XDF8-002
HW10-GYHG-XE01-001,HW10-GYHG-XE01-001
HW10-GYHG-XE06-001,HW10-GYHG-XE06-001
HW10-GYHG-XE09-001,HW10-GYHG-XE09-001
HW10-GYHG-XE50-001,HW10-GYHG-XE50-001
HW10-GYHG-XE75-001,HW10-GYHG-XE75-001
HW10-GYHG-XE8A-001,HW10-GYHG-XE8A-001
HW10-GYHG-XE91-001,HW10-GYHG-XE91-001
HW10-GYHG-XE96-001,HW10-GYHG-XE96-001
HW10-GYHG-XEB3-001,HW10-GYHG-XEB3-001
HW10-GYHG-XEBF-001,HW10-GYHG-XEBF-001
HW10-GYHG-XEF3-001,HW10-GYHG-XEF3-001
HW10-GYHG-XEFC-001,HW10-GYHG-XEFC-001
HW10-GYHG-XF06-001,HW10-GYHG-XF06-001
HW10-GYHG-XF0B-001,HW10-GYHG-XF0B-001
HW10-GYHG-XF0D-001,HW10-GYHG-XF0D-001
HW10-GYHG-XF18-001,HW10-GYHG-XF18-001
HW10-GYHG-XF2B-001,HW10-GYHG-XF2B-001
HW10-GYHG-XF32-001,HW10-GYHG-XF32-001
HW10-GYHG-XF32-002,HW10-GYHG-XF32-002
HW10-GYHG-XF3F-001,HW10-GYHG-XF3F-001
HW10-GYHG-XF46-001,HW10-GYHG-XF46-001
HW10-GYHG-XF59-001,HW10-GYHG-XF59-001
HW10-GYHG-XF5C-001,HW10-GYHG-XF5C-001
HW10-GYHG-XF76-001,HW10-GYHG-XF76-001
HW10-GYHG-XF7C-001,HW10-GYHG-XF7C-001
HW10-GYHG-XFD6-001,HW10-GYHG-XFD6-001
HW10-GYHG-XFDD-001,HW10-GYHG-XFDD-001
