pic_destination_folder,pic_source_try_order,category_db,old_code,new_code,src_found_folder,expected_src_rel,dst_rel,src_found
前厅杂件,前厅杂件 | 五金杂件,五金杂件,HW10-GYHG-ISYH-001,HW10-GYHG-X065-001,,前厅杂件/HW10-GYHG-ISYH-001.png,前厅杂件/HW10-GYHG-X065-001.png,no
前厅杂件,前厅杂件 | 五金杂件,五金杂件,HW10-GYHG-ISIV-001,HW10-GYHG-X222-001,,前厅杂件/HW10-GYHG-ISIV-001.png,前厅杂件/HW10-GYHG-X222-001.png,no
