id,code,name,description,price,unit,category,brand,hs_code,weight,volume,qty,spec,specs_l,specs_w,specs_h,specification,area,location,box_no,material,color,image,image_filename,image_data,remarks,tags,create_time,update_time,restaurant_brand_id,material_brand,suggested_waste_rate,excel_src_row,pic_folder,code_before_cleanup
24,HW10-GYHG-X875-001,2钱装白酒杯,,14.8,个,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_BAB8B00A43C74BD9938DDA71235C2B6B"",1)",,,,,,,,,,25,前厅杂件,HW10-GYHG-X875-001
25,HW10-GYHG-XF0B-001,白酒分酒器,,8,个,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_29C71C6DC7E64D2487695834148BA02C"",1)",,,,,,,,,,26,前厅杂件,HW10-GYHG-XF0B-001
26,HW10-GYHG-XF5C-001,惠普打印机,,800,台,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_D95D3676FF4E4D1FB7A658C942BA2015"",1)",,,,,,,,,,27,前厅杂件,HW10-GYHG-XF5C-001
27,HW10-GYHG-X51B-001,A4打印纸,,106,件,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_D46529D1C64645FBB821676C34E99165"",1)",,,,,,,,,,28,前厅杂件,HW10-GYHG-X51B-001
28,HW10-GYHG-X22A-001,对讲机,,179,个,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_003721F9E2C448588B6CCB559D740429"",1)",,,,,,,,,,29,前厅杂件,HW10-GYHG-X22A-001
29,HW10-GYHG-X0FA-001,啤酒杯框,,37.9,个,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_6A60DB9597A34AAEB218AB0D73CFC4D1"",1)",,,,,,,,,,30,前厅杂件,HW10-GYHG-X0FA-001
30,HW10-GYHG-CMX-001,打包盒直径18cm,可添加LOGO定制,16,箱,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_C988B4980A8A47ACAED9866FA925BD10"",1)",,,,,,,,,,31,前厅杂件,HW10-GYHG-CMX-001
31,HW10-GYHG-X9A8-001,食品打包袋,可添加LOGO定制,100,箱,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_9571E209A5EF4270B2402C9517F3134B"",1)",,,,,,,,,,32,前厅杂件,HW10-GYHG-X9A8-001
32,HW10-GYHG-XE75-001,挂钩,,6.9,个,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_029CB2BD1C494BAD9F8B6C9EF0DB8095"",1)",,,,,,,,,,33,前厅杂件,HW10-GYHG-XE75-001
33,HW10-GYHG-XB88-001,收银毛巾,,12.49,个,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_98EED692380D4D92B7F6917A7A13F589"",1)",,,,,,,,,,34,前厅杂件,HW10-GYHG-XB88-001
34,HW10-GYHG-X262-001,虎牌保险柜,,918,台,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_0167F02D82064F0DBFC6EC251C884447"",1)",,,,,,,,,,35,前厅杂件,HW10-GYHG-X262-001
35,HW10-GYHG-XDE0-001,验钞机,晨光,369,台,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_9087D3D6980A40A58F742DD018163215"",1)",,,,,,,,,,36,前厅杂件,HW10-GYHG-XDE0-001
36,HW10-GYHG-X785-001,封口胶布,,22.9,卷,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_02974865D9E745E998DC76FF6A4C09B5"",1)",,,,,,,,,,37,前厅杂件,HW10-GYHG-X785-001
37,HW10-GYHG-XB68-001,插线板,,22,个,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_B7038DC2BC7849538F3E0734016EF968"",1)",,,,,,,,,,38,前厅杂件,HW10-GYHG-XB68-001
38,HW10-GYHG-X2CA-001,笔筒,,9,个,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_825FDD84810E48A292687EBC31563E30"",1)",,,,,,,,,,39,前厅杂件,HW10-GYHG-X2CA-001
39,HW10-GYHG-X851-001,印泥,,8.7,个,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_75914D268AC743C9AE9FB2CEDA1E6C76"",1)",,,,,,,,,,40,前厅杂件,HW10-GYHG-X851-001
